crop,N,P,K,temperature,humidity,ph,rainfall
Rice,37,50,23,14.139748999495207,58.42454395828021,6.126883925311226,758.0490675787096
Rice,44,42,28,14.720522735618065,56.10336245250876,6.014571565705442,839.798748103514
Rice,45,46,31,13.749159290940332,59.649808858456865,6.0370243308811995,908.6891272603497
Rice,26,37,40,14.9486031358983,54.03839823976573,5.794664489675867,910.949733934002
Rice,45,48,37,13.025048934976475,51.64466044125973,6.190915994005115,806.1714963019916
Rice,42,42,38,14.046269696737532,53.140792002306796,6.065903946957084,803.1597219716601
Rice,27,35,24,13.18011534947325,54.145011964116705,5.803717629409649,823.3288875208858
Rice,29,49,36,15.600328134672647,51.20632131509769,6.022267630354671,719.1651757965076
Rice,27,36,31,12.26659051959756,58.19508109017565,5.760916088225962,772.9844691504753
Rice,30,47,24,16.620316980577744,57.63525575885007,5.7949750656378125,899.784101718888
Rice,40,44,25,13.022872336667431,60.035578667607204,5.707757152331386,879.9681084450135
Rice,32,37,38,13.320003042481623,52.95858405546003,6.143803049040378,888.8013623530089
Rice,28,48,27,17.872970789990156,60.4089438179803,6.217189204302757,837.9844609567509
Rice,40,40,32,15.63781862330571,56.54303689112766,5.907211933067006,857.1112603210845
Rice,36,46,29,15.708535163782878,57.07181094944678,6.188616820612618,858.4057885634878
Rice,39,36,31,16.65176969967682,56.7061845625191,6.0376049435600745,719.8926873635882
Rice,26,45,30,14.707326533242213,52.83924692831208,5.790978099619772,740.8221457539601
Rice,41,36,39,14.823638371561948,52.941274133156,6.238447124344076,785.897276391139
Rice,35,44,34,12.17660761636216,54.26984146767177,6.184427277720209,789.9362473056748
Rice,43,54,28,17.281317986338497,53.03279819822181,6.143349018504187,848.8602783394188
Corn,40,98,56,13.550074442488087,88.74319913297252,7.157582651405122,2144.8736548564543
Corn,57,97,70,16.078880528793512,93.56769719672897,6.889575184848128,2234.0059102772357
Corn,40,103,72,14.586380119787266,89.7980851065492,6.831935143497062,2296.345104691623
Corn,40,89,67,17.68302320954511,92.44739695314469,6.917138688002012,2239.7649948910266
Corn,46,91,71,18.079270238847382,89.7003064843192,7.259034527660352,2238.077966295429
Corn,48,106,66,17.273834367638653,88.79658540690414,6.813696248686989,2222.386871323785
Corn,40,100,72,13.574516218731834,90.73165718561141,7.396137140587912,2132.6618184170147
Corn,40,91,70,15.034653035169638,91.88026017794711,6.808812121128278,2168.38006772833
Corn,39,108,72,18.34175133504288,92.8230234494624,7.231302037284958,2232.418700097452
Corn,43,104,61,18.633784693447055,90.13345161132628,7.206600611389729,2192.269330516386
Corn,39,94,58,17.8377569075341,91.22850834566293,7.254457719480164,2269.796154289369
Corn,51,101,70,18.093818599791657,87.90661800678092,7.017880988693616,2132.885602434486
Corn,51,108,66,13.533518203975266,91.18735621241815,6.8253429449032605,2191.8325275269913
Corn,42,100,63,17.464649259491225,93.38728209097378,7.2525359047989575,2212.3010699297415
Corn,51,107,60,13.094621611353995,88.24522131438763,7.360243311673424,2313.058296014949
Corn,49,105,57,18.435212478209966,91.27466282542922,7.396266102905953,2186.8455919945654
Corn,57,101,64,18.313510959113025,88.78989912204747,7.348333139927482,2261.8245678712965
Corn,57,103,65,14.342997659567164,87.92009387143962,7.395770549512285,2286.571325406391
Corn,40,93,64,15.455613373046475,89.73427200326408,7.0178002976546745,2246.775669525593
Corn,43,95,71,18.28327343000393,86.80288869559581,7.098768939591497,2135.5566506004216
Wheat,72,52,35,33.87780233461761,77.52937577376247,7.150492623226581,1833.7913955091649
Wheat,58,49,40,35.752458425258375,84.27419921375781,6.948524213486724,1734.3361341763432
Wheat,75,50,51,36.40592034897252,82.15294462024895,7.236846636329319,1808.2581812769706
Wheat,74,36,51,31.17332248973188,78.8107285819971,6.839758882082368,1769.966074907104
Wheat,61,47,51,36.1034062930468,83.8995647956103,7.308526507963566,1730.2675815433847
Wheat,67,51,49,32.16377963849396,85.88435316044107,7.2735534858936886,1846.1051674910993
Wheat,63,51,36,35.1449914684886,82.7248645535637,7.232638143273361,1738.7002259958429
Wheat,68,45,44,35.855102013008434,80.71651189715755,7.031299085141079,1863.9166888688537
Wheat,63,46,35,36.4259319250261,76.2613016104187,7.213093747399857,1746.364335643458
Wheat,69,39,49,36.23512268710546,76.78550239611384,7.236308099363288,1888.952400931769
Wheat,68,38,41,35.650650754879784,82.81982403129169,7.297952054842464,1906.8405486570477
Wheat,59,45,51,32.1771270305553,85.63664933421319,6.937972286799964,1906.9280269938797
Wheat,73,46,42,34.55349405299622,78.89794676884708,7.308177928748325,1875.5626784008666
Wheat,67,54,51,34.89629090887437,77.40409685973928,6.8973073879155535,1793.1099664841545
Wheat,71,37,36,33.496138240812556,83.47157858337356,7.232064326334799,1770.7948124295624
Wheat,75,43,51,34.44552053087326,80.02478856457057,7.274769851557542,1811.154459156183
Wheat,67,51,43,36.2743823689906,85.61223331211286,7.235407520820187,1732.8267395666167
Wheat,58,52,48,32.656918178649605,81.76734436429076,6.8470451511258625,1799.8648867110262
Wheat,63,49,54,33.53788296071069,81.40536961056401,6.983099473366453,1916.6753966202223
Wheat,74,41,45,36.694151201269776,79.75849061393816,7.255200378391136,1786.999940774117
Barley,54,61,102,19.299532189736574,91.28303739027194,7.274210545712953,2368.4285057077827
Barley,58,53,94,19.985109989401057,90.40260150883616,7.488353449565342,2430.945679986977
Barley,55,54,91,15.225133929507036,85.78967757446436,7.452973971497898,2329.2384654471543
Barley,54,71,96,19.745366820584067,88.3559038122333,7.287096199805955,2330.941004196378
Barley,66,60,98,18.217064741554484,86.75322764421637,7.701350068127943,2356.2651583907045
Barley,55,60,99,20.562812107990073,84.8752586775455,7.23566746809874,2378.121090631989
Barley,55,55,104,15.51188381288425,89.35793919569656,7.523012752239769,2466.0294888488033
Barley,72,69,92,18.932506323353362,92.78114187196793,7.67915108167584,2279.426416536686
Barley,60,62,99,18.673343350452114,91.55789020543972,7.217270073550401,2372.239985652005
Barley,67,52,98,20.83058879511984,90.31820889768495,7.46909410804992,2442.730700680684
Barley,60,53,86,18.904755436598485,85.42764814120221,7.561449797907097,2377.6716715874386
Barley,69,68,97,17.23719418038221,87.5139913268972,7.246331837043695,2315.0963436510046
Barley,72,57,91,17.651933734657096,88.08636805560083,7.7016230499731435,2297.8772047116913
Barley,54,62,92,15.510630058926804,91.0967280102019,7.293593736789155,2386.278943071475
Barley,71,55,85,17.187903654936605,88.75236676592888,7.642525119766307,2380.1856461597836
Barley,58,59,94,18.25072014791159,85.54271536005757,7.668165144567296,2415.0437444068248
Barley,62,68,94,19.801106319181855,90.20361622677554,7.60300754488842,2404.835602424604
Barley,54,66,95,19.76817139971888,93.66263362077797,7.584263573834599,2434.961548981271
Barley,55,64,89,17.203617717111015,87.08799592929317,7.7271526519708855,2392.144230219248
Barley,72,54,96,16.99429087827238,92.14225520754022,7.293785392963344,2383.1664468735844
Millet,73,72,33,18.123505870610504,84.38911600030961,7.232992390689627,758.021159045189
Millet,84,65,39,20.08311184134373,84.21924375267518,7.348307723905907,836.7683975751925
Millet,66,80,29,20.770949393073117,88.47268708381445,7.3274292154552585,753.5107852607223
Millet,67,65,40,21.74333956137793,87.67700163086292,7.1016701883841815,815.5006668028699
Millet,73,66,25,20.297419871117306,88.34978557316792,7.11091501450076,817.7212196811093
Millet,67,74,26,22.816816548545688,83.7410161348804,7.17391214739112,901.4647227494348
Millet,81,71,26,22.852736933309963,80.16015478777373,7.471520247585452,911.4762670919392
Millet,70,78,39,21.571837253518304,86.08187382259204,7.2550136412541875,829.9752178019689
Millet,70,68,31,23.81958155839113,81.525840882612,7.136352884904128,833.0254520061526
Millet,82,72,27,22.75284680684917,84.32746457263555,7.174842548737742,858.0148683996343
Millet,74,65,37,20.753027953759002,81.35096559127184,6.954313094927257,840.499936675432
Millet,71,79,39,19.404061881835208,83.20793643523459,6.978752300909206,791.963373924359
Millet,80,81,44,18.341961124457356,81.65395645781852,7.316914400904696,733.4109690724426
Millet,75,75,44,22.01634518269957,85.27905455092602,7.232010117036885,803.7621159526576
Millet,66,72,26,19.254646686000964,87.08949428414329,7.4877620971985435,903.9680914464816
Millet,71,65,33,22.11609778287035,80.70531246781437,7.2146915957784294,849.6820542756338
Millet,65,63,40,19.290400924350312,81.13621756366237,6.90424999809691,762.7059394262565
Millet,76,79,27,22.318829728693114,85.74961189792647,7.4214752649764515,755.1079383269905
Millet,76,78,40,19.85014198546738,81.64280361505413,7.1747313830175905,884.4774930597919
Millet,65,75,29,18.859271341771173,85.29143567816878,7.209769120045975,819.2436101582946
Sorghum,42,92,60,28.865157777104805,49.21530301868748,5.170130513303116,2409.2028915912156
Sorghum,48,97,62,27.65246528588435,51.915570215435054,5.485922725354888,2394.7723057560493
Sorghum,58,105,57,28.729321298681977,45.93843122138689,5.100412969536283,2434.032152481693
Sorghum,60,89,69,26.12445722154975,45.503942023934016,5.03103879766591,2458.1273403057735
