crop,N_min,N_max,P_min,P_max,K_min,K_max,temp_min,temp_max,humidity_min,humidity_max,ph_min,ph_max,rain_min,rain_max
Rice,21,51,30,60,18,48,10,20,46,66,5.5,6.5,611,1011
Corn,33,63,84,114,49,79,11,21,79,99,6.6,7.6,2016,2416
Wheat,52,82,30,60,30,60,29,39,71,91,6.6,7.6,1620,2020
Barley,49,79,47,77,80,110,13,23,79,99,7.0,8.0,2174,2574
Millet,60,90,58,88,20,50,16,26,74,94,6.7,7.7,612,1012
Sorghum,37,67,83,113,47,77,23,33,38,58,4.7,5.7,2173,2573
Potato,84,114,55,85,80,110,25,35,50,70,6.8,7.8,764,1164
Sweet Potato,42,72,75,105,48,78,27,37,49,69,5.5,6.5,2125,2525
Cassava,21,51,45,75,31,61,16,26,34,54,6.0,7.0,1970,2370
Taro,8,38,72,102,25,55,18,28,79,99,5.2,6.2,1346,1746
Carrot,41,71,51,81,37,67,20,30,58,78,6.9,7.9,828,1228
Radish,77,107,5,35,8,38,17,27,50,70,5.5,6.5,1456,1856
Beetroot,20,50,60,90,65,95,24,34,32,52,6.1,7.1,1323,1723
Spinach,65,95,33,63,73,103,29,39,62,82,5.3,6.3,2034,2434
Mustard Greens,33,63,32,62,49,79,27,37,75,95,6.3,7.3,373,773
Lettuce,80,110,75,105,14,44,27,37,76,96,5.5,6.5,1778,2178
Water Spinach,41,71,7,37,84,114,21,31,39,59,4.8,5.8,638,1038
Malabar Spinach,19,49,13,43,12,42,26,36,39,59,4.9,5.9,686,1086
Tomato,69,99,63,93,57,87,22,32,53,73,6.3,7.3,1567,1967
Chili,33,63,71,101,74,104,13,23,34,54,5.2,6.2,1600,2000
Cucumber,20,50,46,76,80,110,23,33,67,87,6.2,7.2,1434,1834
Pumpkin,38,68,14,44,70,100,14,24,42,62,4.7,5.7,676,1076
Eggplant,79,109,54,84,6,36,11,21,40,60,5.5,6.5,604,1004
Bottle Gourd,67,97,33,63,33,63,22,32,43,63,4.7,5.7,1091,1491
Luffa,57,87,67,97,60,90,10,20,43,63,6.0,7.0,1256,1656
Onion,43,73,46,76,44,74,13,23,74,94,6.8,7.8,1175,1575
Garlic,57,87,61,91,31,61,27,37,74,94,6.1,7.1,428,828
Ginger,78,108,80,110,47,77,29,39,44,64,6.6,7.6,1709,2109
Turmeric,7,37,79,109,52,82,13,23,54,74,5.0,6.0,1007,1407
Lemongrass,83,113,39,69,52,82,11,21,60,80,6.2,7.2,664,1064
Coriander,43,73,67,97,50,80,16,26,51,71,4.6,5.6,689,1089
Dill,76,106,72,102,79,109,20,30,73,93,5.3,6.3,456,856
Orange,5,35,8,38,66,96,17,27,41,61,5.1,6.1,591,991
Mandarin,83,113,52,82,62,92,10,20,34,54,5.8,6.8,1467,1867
Grapefruit,78,108,74,104,10,40,19,29,39,59,6.9,7.9,480,880
Lemon,79,109,7,37,22,52,17,27,68,88,6.2,7.2,333,733
Mango,44,74,69,99,56,86,17,27,35,55,5.6,6.6,1408,1808
