crop,N,P,K,temperature,humidity,ph,rainfall
Rice,27,67,35,29.663700508111116,47.344128865437476,6.2841280759793445,1968.0024534449924
Rice,19,68,53,28.149607509157015,47.84024416656971,6.021225320583825,1967.743655638832
Rice,22,70,48,27.135993894648088,49.73483163248084,5.8068584885792545,1880.5561838517888
Rice,30,83,46,29.96478703276577,46.86041081915368,5.983009701847484,1943.499125544473
Rice,17,66,37,29.50195123577141,53.27185467549726,6.1863131486140555,1957.4824978458764
Rice,23,79,42,30.612106513092556,48.01366286963943,5.984206647439924,1879.6416669777138
Rice,20,71,47,28.338200218131824,49.961225599048646,6.146680526099307,1996.0201358262668
Rice,34,81,48,28.147754139211905,54.81835454570624,5.923349730285547,1891.6169342750215
Rice,16,71,51,27.651497805767384,50.23289241831999,6.208834871682286,1932.8894009310154
Rice,22,69,47,25.192251155082978,54.73123398046032,6.193725154904341,1914.1255223555886
Rice,23,83,52,29.226308732329414,49.90562664734185,6.3687704273271315,1937.2518176609678
Rice,22,72,50,27.542417575961803,50.76211556859951,6.339303181596382,1987.2244631768156
Rice,32,83,34,25.519268229962783,55.2370275918955,5.924525684210994,1944.1705258853165
Rice,28,76,50,26.71254403023499,55.518897493463925,5.875825822476446,1836.103656621626
Rice,18,84,46,26.35562768171696,54.52577900181031,6.05618422904128,1914.6340774559205
Rice,24,73,36,27.760857064008754,46.66667106972742,6.154302968180047,1885.8868107264423
Rice,19,72,50,28.474416328900034,55.215245051595865,6.129905068615671,1876.0099727355464
Rice,16,66,53,29.887600933263872,48.518332245555904,6.180002862301959,1867.4534973880202
Rice,31,72,35,28.748130669250223,55.12328883491823,5.885520274434207,1873.568711981513
Rice,34,80,53,30.479139908915016,46.07684022984883,5.925630916422238,1817.01841746926
Corn,61,64,19,34.72415828377765,62.385568456110214,5.374200930600555,872.9703960134763
Corn,75,71,14,33.050735292490906,57.18469483916063,5.339736583029001,836.042155834594
Corn,65,67,31,35.62972833515838,63.06720693721597,5.304068596128379,805.1517316447139
Corn,64,77,25,32.802327353553245,63.917245233085794,5.637569693780589,708.9995572006329
Corn,73,81,18,33.82889185859928,58.570530063495156,5.632420996860512,870.4167130329507
Corn,75,81,22,35.84140217885192,56.20611187644952,5.456541630481018,831.6494066490018
Corn,67,73,26,34.01105285977857,60.27992217449443,5.203536942671264,725.5730212386483
Corn,69,63,27,35.920334295706844,60.05618380647444,5.271414691535692,766.3495845824394
Corn,58,64,22,30.547372181940172,56.01348926145689,5.212519656995474,712.5304949166009
Corn,62,77,19,32.728838801186136,60.510667361392805,5.373176255300167,728.3920458690014
Corn,63,69,25,31.25897412708669,55.02243756331306,5.416740213254004,699.7767878839776
Corn,66,63,23,34.786422005407296,57.58841825599032,5.407016616954228,696.5460406405517
Corn,67,69,15,32.386274176321805,60.508270862479534,5.582511984276928,816.8166138592844
Corn,68,70,15,31.81804187777,58.42146039608267,5.518681365349063,872.4414874380141
Corn,69,72,15,32.97224176724683,60.528544355490055,5.211339232051529,727.4546994004055
Corn,74,65,19,34.26363945367862,60.11752291040905,5.161515948075359,837.2757254149809
Corn,69,68,32,30.744560981903426,55.20620139157878,5.401480188189403,836.0725494739504
Corn,74,81,14,34.35571538513835,61.20812958488639,5.646731615027113,775.5726702639304
Corn,63,76,31,33.98387128169071,63.48226594664377,5.61607614028989,787.5512678556242
Corn,63,67,28,33.89732388432995,63.433926834214844,5.566480806723255,727.3973686519378
Wheat,73,31,94,29.512009605114493,69.02540520542304,6.483725131423081,1508.2668883896297
Wheat,77,28,95,28.195290710917423,69.86297201488381,6.090454660042814,1554.299865226347
Wheat,71,47,86,28.633103436886074,68.72184262507224,5.917127337685483,1595.2382084686735
Wheat,86,39,80,29.91613276239677,72.83530402129284,5.93415698408285,1614.0904305123595
Wheat,76,30,84,27.446837293875767,68.79075562246527,6.372865768025141,1481.0481716383797
Wheat,80,43,93,29.706575712368164,72.25937813754294,6.1112470007630195,1567.9822674198704
Wheat,77,34,95,28.597990534523827,72.33329904267688,6.016795756016988,1635.257860794628
Wheat,86,35,86,27.49764484940945,65.99891024321151,6.127994858298735,1605.8593497635532
Wheat,74,29,91,29.755164295462077,72.52301227915041,6.155065432313105,1660.375561275409
Wheat,71,39,96,28.644321111894975,66.51581947069992,6.045261783372813,1581.106586688941
Wheat,75,45,88,32.82704185286775,69.50493997747428,6.488218243212989,1663.9323563534094
Wheat,72,46,94,31.88110866224747,66.22083029651701,6.445474910125122,1642.4276043596356
Wheat,88,31,83,30.009534913609382,74.04270663560631,6.348645556349804,1574.2865363046699
Wheat,83,28,80,27.090392433451925,74.87322754547067,6.393612908058713,1593.8189729734734
Wheat,86,28,95,32.25127615750216,69.54346552090925,5.900368580390453,1669.164858489571
Wheat,81,47,78,27.980424874678675,68.30220554364223,6.126342600068796,1653.280208468022
Wheat,72,38,79,31.203200496810524,72.21371470677204,6.140565193478829,1587.7384162013775
Wheat,84,31,77,29.196648304755602,69.6852155374306,5.95450607882887,1661.9172213933225
Wheat,75,34,96,28.621213309910903,74.86894508715099,6.14721879027948,1653.8047908720855
Wheat,86,31,78,28.710915842910193,67.03950170697476,6.471322113845567,1578.8261711816924
Barley,47,51,68,21.982627052612607,61.68301532702282,7.498725896007211,556.6417811467974
Barley,43,59,50,25.196802597555525,60.167454110693164,7.187378756812509,659.7397945217324
Barley,42,46,58,21.88596415225136,59.02844906753854,7.4179934571030355,616.5610641426272
Barley,48,55,66,23.44771291170023,61.673171640056644,7.6238402379455845,650.4978382288141
Barley,32,55,64,25.795997445773448,63.93023616530375,7.624486819996763,640.0630506482967
Barley,46,47,69,26.77203718732871,64.44180422077264,7.6206655861271155,522.1106331874455
Barley,32,47,59,21.428403869783025,66.90199008974955,7.664340574703844,548.85468183313
Barley,33,44,56,21.137281292521827,66.91248639232045,7.650270859846415,679.3383287407241
Barley,45,51,56,25.721925398083826,58.876439064764654,7.2356215857324,498.8480402529324
Barley,33,42,69,21.16738734640192,64.1436607206194,7.1054193550824865,611.7124732085254
Barley,47,54,58,25.465428928545045,67.64948353851382,7.476063109165075,521.1241689675655
Barley,37,54,54,25.52552406059179,66.63599408872729,7.670627225732167,652.6925713653459
