crop,N,P,K,temperature,humidity,ph,rainfall
Rice,78,21,86,30.868826209472758,67.80941200025006,6.345437928774366,937.2912045568585
Rice,80,25,103,26.517717479654753,65.45744728280359,6.007783973075245,809.2298210134468
Rice,79,17,87,29.370433731536018,71.70163604862464,6.024457910884714,837.2676411143954
Rice,79,23,91,29.353783612099136,74.81222886793434,5.875613518373321,913.1975423832251
Rice,80,20,103,30.74636431729654,67.91836253201313,6.067916077316731,899.5087410030841
Rice,83,17,92,25.900850957300246,72.15858741237875,6.345075123404541,952.5107816924852
Rice,76,33,101,27.232604263693215,72.71489512886346,5.981666701522824,903.1657712443468
Rice,70,27,91,29.60878757776459,73.8846620006324,6.189173953885464,811.6501663826275
Rice,79,32,101,25.747368478836066,70.80330462874986,5.966271113889814,822.2567999371335
Rice,75,17,102,29.754277887733032,68.48870869581624,5.8916294757215315,928.4767915402725
Rice,88,24,89,26.82386854853658,68.37079619819511,6.3589733288229695,914.4628296249386
Rice,78,17,96,26.41762745496796,73.87103041428824,6.080546486756158,809.0861215626489
Rice,75,27,101,29.865119022378497,70.43040163512748,6.334492832987262,961.2874008962688
Rice,86,28,98,29.45009184282231,68.2262867180993,6.339864437736849,782.4757520007819
Rice,80,24,94,26.9058464069213,74.65250586422684,6.357928624758929,968.8619358091382
Rice,71,33,86,28.20320454321193,70.78818153844804,6.255915088227403,829.754475824566
Rice,84,34,91,26.968919442488588,71.58020212873393,5.808435530903259,813.2102127847261
Rice,70,17,87,28.754304745963772,73.88812892582209,5.8612544041995855,807.39432222415
Rice,70,23,88,25.50130033640253,70.15788424937462,6.1015837757529265,815.6225933709261
Rice,77,19,96,26.232490846063023,73.41043008954605,6.021435730025672,864.1393990984247
Corn,34,60,36,26.776625414890447,60.65712405507978,7.7507605666680535,1152.953854813757
Corn,33,60,34,27.285717279752554,59.367506663939785,7.29851574219181,1066.8026956104338
Corn,41,54,18,24.65287526878197,56.9957919629594,7.458871146185291,1161.5200905951688
Corn,29,55,35,27.55644997482277,59.98666004377725,7.772994634386237,1155.1667258044533
Corn,25,62,36,23.908540487259828,60.80844584829133,7.646614520303289,1072.59549304899
Corn,26,56,23,23.193739627412185,61.48332037596578,7.257823250872197,1213.0550236650065
